tender_id,doc_id,doc_name,doc_type,doc_category,doc_date,doc_size_mb,download_url,downloaded,text_extracted,text_length
316566,f332b5264715663e0960cd9b7515acc8,"TN420730 - EF29 Aankondiging gegunde opdracht - algemene richtlijn, standaardregeling 20231113160739",Portable Document Format,Aankondiging,2023-11-15,0.01,https://www.tenderned.nl/papi/tenderned-rs-tns/v2/publicaties/316566/documenten/10154296/content,True,True,13154
316566,68cb4ab284926c422c293573901d3cca,20197 Bijlage 3 Concept Overeenkomst - bijgewerkt nav NvI 1 - v.230830,MS WORD 7 document,Aanbestedingsdocumenten,2023-08-30,0.05,https://www.tenderned.nl/papi/tenderned-rs-tns/v2/publicaties/316566/documenten/9869197/content,False,False,0
316566,5387960978a99f7a3d1c6457c9e0feb8,Nota van inlichtingen 2023-08-21-1,Portable Document Format,Nota Van Inlichtingen,2023-08-29,0.0,https://www.tenderned.nl/papi/tenderned-rs-tns/v2/publicaties/316566/documenten/9841563/content,True,True,1357
316566,fc97072297c7ae0d6a3531eb75267450,20197 Voorber. PFAS-bodemsaneringen Paars - NvI 1 - def - v230829,Excel 2007,Nota Van Inlichtingen,2023-08-29,0.04,https://www.tenderned.nl/papi/tenderned-rs-tns/v2/publicaties/316566/documenten/9864204/content,False,False,0
316566,446d6ee9f722ccb947bdb929e5a7397e,"TN420730 - SF14 Kennisgeving van aanvullende informatie, informatie over een onvolledige procedure of rectificatie 20230721103629",Portable Document Format,Aankondiging,2023-07-21,0.01,https://www.tenderned.nl/papi/tenderned-rs-tns/v2/publicaties/316566/documenten/9793592/content,True,True,2193
316566,bbfa4db341defae7e532961270814c9e,230720 Pres. Inl.bijeenkomst proj. 20196 tm 20198 Ontwerp- en adviesdiensten PU,Portable Document Format,Aanbestedingsdocumenten,2023-07-21,4.23,https://www.tenderned.nl/papi/tenderned-rs-tns/v2/publicaties/316566/documenten/9793566/content,True,True,4657
316566,a1b37537f80d747b60e1a2037f6b34a6,Informatiebijeenkomst 20 juli 2023 provincie Utrecht - nadere informatie,MS WORD 7 document,Aanbestedingsdocumenten,2023-07-17,0.01,https://www.tenderned.nl/papi/tenderned-rs-tns/v2/publicaties/316566/documenten/9777388/content,False,False,0
316566,786b27086f021f99342db9f3f4a55378,TN420730 - SF02 Aankondiging van een opdracht 20230710145132,Portable Document Format,Aankondiging,2023-07-12,0.03,https://www.tenderned.nl/papi/tenderned-rs-tns/v2/publicaties/316566/documenten/9756446/content,True,True,8244
316566,19d25f401301c778091c1a9846a94a0c,B. Rapportage nader bodemonderzoek bodemverontreiniging met PFAS (grond en grondwater) periode nov 2019 ��� febr 2021) versie 7 definitief 11 mei 2021 20191555_c5RAP-def Geofoxx,Portable Document Format,Aanbestedingsdocumenten,2023-07-12,228.76,https://www.tenderned.nl/papi/tenderned-rs-tns/v2/publicaties/316566/documenten/9756372/content,True,True,1025555
316566,32f2e3d015c394eaa6da0948434f481e,G. Definitieve beschikking Wbb ernst en spoedeisendheid PFAS tankplaats UT035533276 D2022-162186 1 december 2022,Portable Document Format,Aanbestedingsdocumenten,2023-07-12,0.24,https://www.tenderned.nl/papi/tenderned-rs-tns/v2/publicaties/316566/documenten/9756362/content,True,True,9254
316566,50fc181f3679b78c524617f1dcbb2830,F. Verkennend bodemonderzoek naar PFAS Tankplaats Voormalig Vliegbasis Soesterberg versie 3.0 10 juli 2019 191346 BK Ingenieurs,Portable Document Format,Aanbestedingsdocumenten,2023-07-12,4.42,https://www.tenderned.nl/papi/tenderned-rs-tns/v2/publicaties/316566/documenten/9756361/content,True,True,240116
316566,1a66b8542158a8ce2547f0137ddf8537,E. Ori��nterend grondwateronderzoek 4 locaties vml. Vliegbasis Soesterberg definitief revisie 00 11 april 2022 0474160-100 Antea Group,Portable Document Format,Aanbestedingsdocumenten,2023-07-12,10.83,https://www.tenderned.nl/papi/tenderned-rs-tns/v2/publicaties/316566/documenten/9756360/content,True,True,145782
316566,6c8087651dfb1cb94745c83ae298dcec,D. Memo Onderzoeksplan VO PFAS-verdachte locaties Vliegbasis Soesterberg 11 oktober 2021 BH7817WMNT2110111503 Royal HaskoningDHV,Portable Document Format,Aanbestedingsdocumenten,2023-07-12,1.8,https://www.tenderned.nl/papi/tenderned-rs-tns/v2/publicaties/316566/documenten/9756359/content,True,True,7694
316566,8e8e40c55a97ab565ae78f84c2f42353,C. Beschikking ernst en spoed Vml. Oefenplaats brandweer vml. Vliegbasis Soesterberg 81 EDF73D 6 mei 2019,Portable Document Format,Aanbestedingsdocumenten,2023-07-12,1.39,https://www.tenderned.nl/papi/tenderned-rs-tns/v2/publicaties/316566/documenten/9756358/content,True,True,42849
